Group,Car Type,Horse Power(hp),Price($),Engine Size(L),Weight(kg)
Brand A,4CC,180,21404,2,1158
Brand A,BA2,155,23934,2,1112
Brand A,23D,170,24504,2.2,1247
Brand A,31F,175,29307,2.2,1352
Brand A,35G,262,33605,3,1352
Brand A,9SW,250,34145,3,1592
Brand A,J78,270,32760,3,1972
Brand A,88H,330,52564,3.5,1680
Brand A,KR5,322,40000,3.5,1409
Brand A,ZX6,324,46918,3.5,1535
Brand A,M20,350,62000,3.8,2001
Brand A,LL2,345,63859,3.8,1755
Brand A,FT7,445,73663,5,1975
Brand A,GT9,460,75400,5,2106
Brand A,AH2,450,65528,5,2200
Brand A,KG1,380,69800,5,1933
